ID	redshift	EW(Ha) MAST	EW(Ha) unc MAST	EW(Ha) JADES	EW(Ha) unc JADES	EW(Hb) MAST	EW(Hb) unc MAST	EW(Hb) JADES	EW(Hb) unc JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
5759	5.05189382127941	-469.97094492140025	28.75461379511041 Angstrom	-591.4294285385465	61.37413467027315 Angstrom	-124.57587567446815	31.50803528870897 Angstrom	-154.77866288095333	54.47878070883924 Angstrom	-937.515399191296	57.58851276995834 Angstrom	-1051.3181345339883	100.02880513492183 Angstrom
7507	4.04428024657048	-681.0229068254081	19.635060562009908 Angstrom	-765.8067144190143	44.593927639084264 Angstrom	-181.2400717399452	24.468214929305528 Angstrom	-167.52862867077158	31.246114188410928 Angstrom	-1040.0569484206662	33.92061333936152 Angstrom	-913.7836789347353	43.727493268369656 Angstrom
6384	5.61541238216689	-434.64464789453604	101.42783006633599 Angstrom	-185.3506855266981	89.40405022709777 Angstrom	-42.62482596189215	25.53277694925817 Angstrom	-50.67950263650685	39.59515522055441 Angstrom	-188.80156788999454	40.986118892115414 Angstrom	-170.53844805035658	71.46958862527673 Angstrom
10005447	6.62257640301802	1575.5467875770505	611.315927164764 Angstrom	-1437.0319775359512	673.2611565198256 Angstrom	-498.8797416498722	286.4213446142785 Angstrom	-263.2562395827647	316.3385535347014 Angstrom	-943.6191497778477	182.9073026296096 Angstrom	-1090.672175951853	341.19925440684307 Angstrom
6002	5.93685818347379	-1514.149487538109	76.3077012542784 Angstrom	-1146.4212322099534	103.81500444206533 Angstrom	-114.17881638516573	10.76452659881375 Angstrom	-114.8102792327787	18.056033362485447 Angstrom	-955.0767959697896	38.95432146055972 Angstrom	-897.0434838345575	45.99437614243978 Angstrom
18090	4.77562372049334	-862.4319229018375	20.8153317888822 Angstrom	-776.3926536793359	33.9916021008959 Angstrom	-170.50978067802245	11.652704558423668 Angstrom	-218.09283277163303	21.36913021727065 Angstrom	-1892.1949535500564	26.858896128040694 Angstrom	-2274.0143559765265	52.95652999267341 Angstrom
10005113	5.820838	-1627.1492716744176	76.26258294927885 Angstrom	-1220.7492646237017	118.83055737000852 Angstrom	-664.5813832034167	88.55890073752013 Angstrom	-936.5627371537553	179.604199655153 Angstrom	-2712.4773748052626	125.61821719377336 Angstrom	-2965.2676540861958	234.05104053529223 Angstrom
10005217	4.8883230178694	-3011.0929015578313	48.61651407677304 Angstrom	-6515.643973019502	152.86804523330082 Angstrom	-674.4891229435702	34.36468572238425 Angstrom	-1249.801627201877	94.86344097777331 Angstrom	-2601.735741317064	48.08626834673394 Angstrom	-3826.5969312836264	113.08790211868438 Angstrom
10016374	5.50325569707072	-859.5820726673098	35.94184425571179 Angstrom	-982.0045018601205	71.29866228134513 Angstrom	-168.20369740887745	13.126837074065193 Angstrom	-155.0112777006458	21.476629727505706 Angstrom	-1391.1656381690773	22.660417842516736 Angstrom	-1344.2943519175542	40.47635549117959 Angstrom
3334	6.70593	-427.34756770939737	153.53336015839525 Angstrom	-381.28043761205197	118.90513375339071 Angstrom	-39.09082977714954	441.8388619143832 Angstrom	50.199602525233836	221.60906986044384 Angstrom	-1643.9118005260912	224.16984456124231 Angstrom	-1058.7804051296193	88.7480207417508 Angstrom
10035295	3.58892350772953	-1299.8742618802312	23.266045543923717 Angstrom	-1048.244310700229	34.37907065859579 Angstrom	-167.34239281408276	13.284137999300127 Angstrom	-165.21147653722775	25.636739955090196 Angstrom	-1725.9675729097285	25.676371660331615 Angstrom	-1681.8918640408679	41.545262288133465 Angstrom
17777	4.13366013096712	-201.61234780092218	12.899085320717118 Angstrom	-196.15323642485	28.505720239537904 Angstrom	-23.489126881672185	10.234198888578362 Angstrom	-27.924407264143092	21.0278911177905 Angstrom	-371.54947558947265	24.712207099007365 Angstrom	-374.0044253351396	38.13155114943772 Angstrom
9422	5.935895	-2004.210924745279	22.108596514464693 Angstrom	-2622.027192864247	53.73231367344528 Angstrom	-355.58001060629056	6.048771535159567 Angstrom	-454.05606452616536	16.06855836844846 Angstrom	-2676.09659888659	18.498204142313675 Angstrom	-3191.545549980728	49.72586279227152 Angstrom
3184	3.46762	-278.14387808718766	7.109988927732928 Angstrom	-312.6316869623193	15.124274466393194 Angstrom	-25.90919929697767	3.136847273392678 Angstrom	-16.25971829362004	4.959723196754207 Angstrom	-353.92083596253593	4.870873481222012 Angstrom	-444.970291561157	14.61344302601071 Angstrom
16625	6.630648	-4214.6708595566815	212.6851509548833 Angstrom	-1401.2640642333402	109.96957086136037 Angstrom	-726.9305162080736	58.57709511524165 Angstrom	-479.76754020552204	55.62793885211612 Angstrom	-2490.454854955005	112.33098662673756 Angstrom	-2263.157845373617	141.923508939094 Angstrom
10013609	6.928894	2879.483890779959	191.29797916659533 Angstrom	-4345.161349531586	2530.3063182877795 Angstrom	-198.52531481883477	22.802914163150852 Angstrom	-230.3307292704341	47.19523327687497 Angstrom	-1924.9267362609535	63.394163717575765 Angstrom	-1759.0480562380408	107.47808668032626 Angstrom
5329	3.5873007444784	-49.722984384686576	4.646873105403926 Angstrom	-40.79921006275089	6.385318902702934 Angstrom	-7.535097269933487	3.0492585848046243 Angstrom	-7.6506955768886264	3.6934912363292844 Angstrom	-53.67137227998773	6.206470499884712 Angstrom	-44.87895407962846	10.696066722699952 Angstrom
10009693	6.28599376348805	-318.9568287532604	174.64163372927692 Angstrom	-428.7589227556661	566.4464956024746 Angstrom	-201.7419717138937	216.88724298193668 Angstrom	-37.178002077246276	116.63252416095472 Angstrom	-2013.7109604853995	334.0477507445396 Angstrom	-653.1362610916709	215.5443213924367 Angstrom
19606	5.88913558713673	-1092.2733565699307	82.14927576231868 Angstrom	-990.5307993623867	104.18580764060212 Angstrom	-139.36329768163642	18.024580997331693 Angstrom	-159.51691654374747	40.315699747955904 Angstrom	-1084.0752014828852	39.65310190592085 Angstrom	-1446.955358714107	82.72752534921312 Angstrom
17072	4.70200977971638	-169.51519442633946	18.85003867736762 Angstrom	-140.5394176139224	23.132425501711932 Angstrom	-15.018252933986307	10.153369759197128 Angstrom	-12.732761185770864	17.086098137448783 Angstrom	-210.40643695056383	19.501482169450828 Angstrom	-199.31993235093825	32.40169998995404 Angstrom
9452	5.12243857379367	-8401.141770539283	1348.8348723331924 Angstrom	-1511.853245693466	377.4065835083103 Angstrom	-49.1197030076373	39.14160455870947 Angstrom	-68.22039336546365	45.556489965617274 Angstrom	-910.044725426658	82.17183691334071 Angstrom	-835.8898954552556	124.54824832430945 Angstrom
4404	5.763688	-1205.5093403574838	47.99633130185663 Angstrom	-1069.8818675293514	82.93311184549498 Angstrom	-206.9728358706568	14.704578167831665 Angstrom	-250.25207786667352	27.126091664673073 Angstrom	-1461.5886041117535	29.503507778940683 Angstrom	-1510.9345165526781	55.225343386391586 Angstrom
7624	4.854	-38.42411187403089	16.580364868072 Angstrom	-66.92242139397351	23.489121057913177 Angstrom	4.5979117905312865	7.6480024876330015 Angstrom	1.8937239247068207	6.468812146743591 Angstrom	-80.2735949058837	22.99503359051717 Angstrom	-133.69911050249442	34.93006041312774 Angstrom
8083	4.6487198664651	-1219.2023035920824	13.417078132793533 Angstrom	-1314.3102656062654	27.095325187976574 Angstrom	-147.0918426960043	3.1883740338429676 Angstrom	-173.55246143312343	9.248500077983925 Angstrom	-1953.9583178453993	14.27520190520355 Angstrom	-2181.7652875367185	29.343185347341997 Angstrom
