ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
17260	4.88512714601353	-291.676729754386	26.9260089745624	-336.969951132549	37.7694163669775	-18.4174353614273	8.63918046260081	-31.6884552286288	12.4437469261835	-98.9702945067272	17.075647400963	-142.686799433996	21.7599178416366	6530	6605	4827	4892	4938	5040
17566	6.101534	-381.910360536583	25.5357307839701	-373.702671986873	22.9186810741577	-49.5125243714131	11.2731336661599	-63.7056335920866	15.6925770475211	-460.322644196315	19.495946904162	-495.695769699388	27.7868198878315	6542	6592	4836	4887	4936	5051
17777	4.13366013096712	-224.029512007593	13.4701031015776	-230.311847426081	23.912556831041	-24.4199010601918	12.0658109857602	-28.5648429667232	19.7242614421144	-365.933250558957	27.5715459766038	-371.602441801107	34.7638024291772	6494	6609	4793	4899	4916	5098
18028	3.73094591607022	-100.079248146623	13.2696640413739	-203.12976239811	33.9805429005992	-9.53810231166014	9.99301444952231	-125.685071912442	50.7166573199988	-92.399311992597	19.1143257288747	-551.745312697902	75.7737489551231	6502	6616	4793	4901	4903	5087
18090	4.77562372049334	-985.56148433535	38.3849336990027	-927.715948311731	49.1995875685027	-164.098493776491	28.3329198987804	-211.875920887595	30.9498143806591	-1948.2147195431	51.3752187496098	-2320.05047694413	55.6536953966228	6502	6622	4807	4899	4907	5075
18846	6.335054	-720.021363101381	30.8889619668407	-783.141850961948	44.0522730502578	-188.411635041089	20.093948589366	-221.426081195767	24.257982626862	-1295.94984518107	46.7129508667225	-1428.22367602256	46.1948103946887	6535	6615	4828	4891	4919	5043
18970	3.72458828704365			-192.449760465234	10.3801438153789			-23.3894571122211	5.09918095461113			-256.033848011279	9.83159817380985	6535	6615	4828	4891	4919	5043
18976	6.327052	-465.522786169924	32.3059918296386	-517.50045634018	47.6247041382475	-76.138972647955	10.3295581436715	-162.441876328979	30.8079225010196	-586.994108542765	31.6349697252364	-1113.95189516835	73.9426914475589	6549	6589	4838	4881	4931	5036
19342	5.974287	-448.855550166632	21.5505222536694	-489.858975998125	41.3653048576947	-183.804924094103	27.0687952076701	-314.367625844596	71.3328574895976	-1048.37678080486	47.022454512383	-2046.39797584497	124.9983706497	6532	6587	4830	4901	4918	5036
19519	3.60450973158305	-468.758690305785	15.4692641302347	-469.931538410541	17.0991049732266	-56.2218506140452	6.14868076524853	-96.2569145399292	14.0928186853832	-676.006232170886	12.1932653623805	-824.14046118587	22.422434482476	6495	6629	4792	4901	4910	5079
19606	5.88913558713673	-1160.5590495486	94.9939616276359	-1024.03470066426	90.2073187365028	-128.864143541102	37.8057922498252	-154.970407552745	38.0482020660177	-1163.34368132928	80.8056054050482	-1509.6154109042	72.958114674465	6532	6596	4833	4893	4934	5038
20961	7.04457065169479					-99.4741133067658	53.3531203031758	-150.178634297106	50.0137576555375	-846.997130235769	134.038819678076	-826.328447559728	96.2148711568276	6542	6543	4815	4890	4925	5044
22251	5.79838391626917	-971.124442771267	27.8171728486456	-944.805126566234	39.3852298948953	-178.723302364412	33.1550873716628	-172.172779366347	33.3676072620064	-1711.99474692665	52.8514373862888	-1639.49557504334	56.9473595674793	6518	6597	4820	4896	4913	5041
10000626	4.46468607001795	-824.70767057975	108.823190545481	-852.776885094743	110.191359437548	-138.013313741463	70.8502962066903	-236.342596468033	118.258348295438	-1066.83915212397	94.8297298359862	-1268.37570340109	191.721680901724	6529	6615	4789	4889	4920	5068
10001587	3.43070237834676	-646.998347960899	143.174494897589	-467.566654861118	104.939511579461			-84.148349760318	43.2383397652506	-149.306550924984	47.1127536310711	-281.946199914661	56.7970997907234	6502	6600	4831	4882	4928	5025
10001892	4.770522	-425.784921209231	120.329575267866	-442.70482229623	139.891213324988	-89.1528681426601	73.6424676436889	-90.4975269700539	74.7905370527576	-231.219638381132	74.7756670432857	-230.295607221682	108.151375240222	6516	6595	4829	4905	4932	5027
10005113	5.820838	-1335.86075596509	61.1228691618154	-1368.42690966113	87.1923248452544	-652.275747071365	157.029973082668	-837.918423041246	189.897034477242	-2789.1493641516	211.335529427634	-3360.62797403096	268.627753366586	6541	6592	4825	4899	4922	5034
10005217	4.8883230178694	-2145.61256858294	45.4343161392399	-2099.39185517456	47.3624083733434	-567.692415772504	81.575145031389	-932.449892608022	141.640328282341	-3142.63223452602	137.156673944138	-4883.98898521207	230.823555422994	6517	6603	4803	4892	4907	5060
10005447	6.62257640301802	-504.824729669646	178.454154889481	-348.030808226711	144.819660509144	-249.93168640576	152.416626132526	-135.55121700781	206.40728191013	-1157.14127616808	274.601376109687	-1030.04444702751	354.308278474117	6538	6595	4829	4881	4922	5042
10009506	3.59928686455817	-607.111441871003	12.4382790051034	-599.516990713081	17.4310125077438	-42.2529012132818	10.2396468339374	-52.2804429380289	7.46523881212995	-897.93807425946	17.1619652050979	-947.504647713454	16.9210585932911	6486	6619	4774	4883	4889	5086
10009693	6.28599376348805	-451.464332091487	178.732337686511	-494.831679310428	241.577469333028	-166.993810362032	222.75399765686	-23.6390681399929	95.810187259153	-2472.76802269222	415.567127526605	-852.796682288933	214.536782836019	6550	6610	4850	4896	4941	5034
10009848	4.37					3.77927660568696	22.6431431475892	2.99637118859031	35.0008771592315	-14.3448370414725	44.2661762543096	-0.464996945940389	62.3075857997995	6530	6540	4815	4900	4906	5058
10013545	4.03498294164463	-420.794669033323	23.3267434677902	-467.339826735907	55.4707266306258	-87.064738474738	14.0697308284177	-248.721511837094	69.4749583991458	-685.581545605543	17.4648191699884	-694.93334557713	92.0876841006066	6510	6636	4782	4903	4919	5088
10013609	6.928894	-1974.70110602397	84.6834189439613	-1847.08269423157	131.889594842605	-189.204007823284	30.4100430454369	-218.583067450781	49.136907710025	-2114.21367206204	95.3074555316132	-1940.18847791771	113.719037266329	6545	6593	4829	4881	4922	5042
10013618	5.94372301071691	-128.245113918437	8.67176984777244	-116.136110323485	8.75998470509672	-24.7613199206088	7.10490986534171	-22.9859025071179	8.74077210137951	-180.213884345772	8.08465329618531	-165.468350442043	11.3938574580086	6536	6589	4792	4895	4923	5047
10013620	5.91753186734937	-392.750145415943	21.590878445303	-403.111285112365	28.5070186358813	-73.395996226737	15.391329515187	-68.9171193267484	20.1015928059635	-529.644091931534	29.8214927718282	-563.948916484316	48.8745223905827	6539	6590	4820	4898	4906	5078
10013704	5.919825	-771.367416995942	29.1640697462418	-760.962116514633	41.9062598904978	-149.170322737464	23.6355514992654	-142.142011520734	27.1009667324366	-1078.22316972074	35.9487261066198	-975.344967638631	35.8073779877231	6470	6624	4820	4902	4923	5044
10013905	7.197212					-687.400221519471	139.539343478372	-476.79899590064	155.594268867495	-3471.98141792087	220.571752426517	-2983.91713393385	224.947215427888	6470	6624	4820	4902	4923	5044
10015338	5.07627227996806	-1409.65230066665	78.7897126302703	-1427.82510066971	67.5602454938363	-158.001515909592	40.2100981265199	-129.899343152849	37.8500530889345	-1238.32303549199	52.0377451956176	-1206.44120293358	58.3771092480678	6512	6600	4795	4889	4918	5062
10016186	3.92792643507394	-266.201862060686	10.051658238759	-262.919506498257	10.7247311439543	-41.4536675721025	7.00822217842536	-36.3634572388107	8.38372888453839	-316.329348829951	9.28859363814529	-348.093173599503	13.2105163637211	6510	6615	4791	4906	4923	5066
10016374	5.50325569707072	-745.128453394052	31.038176976083	-786.496144223783	51.193296218392	-156.831447304756	28.5993237677066	-138.790882329905	30.1287906099582	-1468.06068265688	43.527394523118	-1434.03277639075	52.8255404889041	6506	6614	4825	4904	4923	5059
10035295	3.58892350772953	-1230.25929365333	30.8397200885226	-1031.00578896125	29.7853522694209	-154.35880892312	36.3429865074442	-153.079298876673	35.0438049816299	-1795.18325752374	59.9464179746452	-1715.98390192454	46.7892832837957	6492	6627	4757	4874	4896	5086
10056849	5.8142066790736	-2145.00642952198	103.144919057546	-1940.38140749495	108.677965846961	-312.999949243539	71.7587474075302	-404.989292134915	78.2004299132676	-1725.76886431986	91.2693919584936	-2059.59996412643	129.141760425094	6538	6595	4818	4897	4934	5042
