ID	redshift	EW(Ha) MAST	EW(Ha) unc MAST	EW(Ha) JADES	EW(Ha) unc JADES	EW(Hb) MAST	EW(Hb) unc MAST	EW(Hb) JADES	EW(Hb) unc JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
18090	4.77562372049334	-862.431922901838	20.8153317888822 Angstrom	-776.392653679336	33.9916021008959 Angstrom	-170.509780678022	11.652704558423668 Angstrom	-218.092832771633	21.36913021727065 Angstrom	-1892.19495355006	26.858896128040694 Angstrom	-2274.01435597653	52.95652999267341 Angstrom
10005113	5.820838	-1627.14927167442	76.26258294927885 Angstrom	-1220.7492646237	118.83055737000852 Angstrom	-664.581383203417	88.55890073752013 Angstrom	-936.562737153755	179.604199655153 Angstrom	-2712.47737480526	125.61821719377336 Angstrom	-2965.2676540862	234.05104053529223 Angstrom
10005217	4.8883230178694	-3011.09290155783	48.61651407677304 Angstrom	-6515.6439730195	152.86804523330082 Angstrom	-674.48912294357	34.36468572238425 Angstrom	-1249.80162720188	94.86344097777331 Angstrom	-2601.73574131706	48.08626834673394 Angstrom	-3826.59693128363	113.08790211868438 Angstrom
10016374	5.50325569707072	-859.58207266731	35.94184425571179 Angstrom	-982.00450186012	71.29866228134513 Angstrom	-168.203697408877	13.126837074065193 Angstrom	-155.011277700646	21.476629727505706 Angstrom	-1391.16563816908	22.660417842516736 Angstrom	-1344.29435191755	40.47635549117959 Angstrom
3334	6.70593	-427.347567709397	153.53336015839525 Angstrom	-381.280437612052	118.90513375339071 Angstrom	-39.0908297771495	441.8388619143832 Angstrom	50.1996025252338	221.60906986044384 Angstrom	-1643.91180052609	224.16984456124231 Angstrom	-1058.78040512962	88.7480207417508 Angstrom
10035295	3.58892350772953	-1299.87426188023	23.266045543923717 Angstrom	-1048.24431070023	34.37907065859579 Angstrom	-167.342392814083	13.284137999300127 Angstrom	-165.211476537228	25.636739955090196 Angstrom	-1725.96757290973	25.676371660331615 Angstrom	-1681.89186404087	41.545262288133465 Angstrom
17777	4.13366013096712	-201.612347800922	12.899085320717118 Angstrom	-196.15323642485	28.505720239537904 Angstrom	-23.4891268816722	10.234198888578362 Angstrom	-27.9244072641431	21.0278911177905 Angstrom	-371.549475589473	24.712207099007365 Angstrom	-374.00442533514	38.13155114943772 Angstrom
9422	5.935895	-2004.21092474528	22.108596514464693 Angstrom	-2622.02719286425	53.73231367344528 Angstrom	-355.580010606291	6.048771535159567 Angstrom	-454.056064526165	16.06855836844846 Angstrom	-2676.09659888659	18.498204142313675 Angstrom	-3191.54554998073	49.72586279227152 Angstrom
3184	3.46762	-278.143878087188	7.109988927732928 Angstrom	-312.631686962319	15.124274466393194 Angstrom	-25.9091992969777	3.136847273392678 Angstrom	-16.25971829362	4.959723196754207 Angstrom	-353.920835962536	4.870873481222012 Angstrom	-444.970291561157	14.61344302601071 Angstrom
16625	6.630648	-4214.67085955668	212.6851509548833 Angstrom	-1401.26406423334	109.96957086136037 Angstrom	-726.930516208074	58.57709511524165 Angstrom	-479.767540205522	55.62793885211612 Angstrom	-2490.45485495501	112.33098662673756 Angstrom	-2263.15784537362	141.923508939094 Angstrom
10013609	6.928894	2879.48389077996	191.29797916659533 Angstrom	-4345.16134953159	2530.3063182877795 Angstrom	-198.525314818835	22.802914163150852 Angstrom	-230.330729270434	47.19523327687497 Angstrom	-1924.92673626095	63.394163717575765 Angstrom	-1759.04805623804	107.47808668032626 Angstrom
5329	3.5873007444784	-49.7229843846866	4.646873105403926 Angstrom	-40.7992100627509	6.385318902702934 Angstrom	-7.53509726993349	3.0492585848046243 Angstrom	-7.65069557688863	3.6934912363292844 Angstrom	-53.6713722799877	6.206470499884712 Angstrom	-44.8789540796285	10.696066722699952 Angstrom
10009693	6.28599376348805	-318.95682875326	174.64163372927692 Angstrom	-428.758922755666	566.4464956024746 Angstrom	-201.741971713894	216.88724298193668 Angstrom	-37.1780020772463	116.63252416095472 Angstrom	-2013.7109604854	334.0477507445396 Angstrom	-653.136261091671	215.5443213924367 Angstrom
19606	5.88913558713673	-1092.27335656993	82.14927576231868 Angstrom	-990.530799362387	104.18580764060212 Angstrom	-139.363297681636	18.024580997331693 Angstrom	-159.516916543747	40.315699747955904 Angstrom	-1084.07520148289	39.65310190592085 Angstrom	-1446.95535871411	82.72752534921312 Angstrom
17072	4.70200977971638	-169.515194426339	18.85003867736762 Angstrom	-140.539417613922	23.132425501711932 Angstrom	-15.0182529339863	10.153369759197128 Angstrom	-12.7327611857709	17.086098137448783 Angstrom	-210.406436950564	19.501482169450828 Angstrom	-199.319932350938	32.40169998995404 Angstrom
9452	5.12243857379367	-8401.14177053928	1348.8348723331924 Angstrom	-1511.85324569347	377.4065835083103 Angstrom	-49.1197030076373	39.14160455870947 Angstrom	-68.2203933654637	45.556489965617274 Angstrom	-910.044725426658	82.17183691334071 Angstrom	-835.889895455256	124.54824832430945 Angstrom
4404	5.763688	-1205.50934035748	47.99633130185663 Angstrom	-1069.88186752935	82.93311184549498 Angstrom	-206.972835870657	14.704578167831665 Angstrom	-250.252077866674	27.126091664673073 Angstrom	-1461.58860411175	29.503507778940683 Angstrom	-1510.93451655268	55.225343386391586 Angstrom
7624	4.854	-38.4241118740309	16.580364868072 Angstrom	-66.9224213939735	23.489121057913177 Angstrom	4.59791179053129	7.6480024876330015 Angstrom	1.89372392470682	6.468812146743591 Angstrom	-80.2735949058837	22.99503359051717 Angstrom	-133.699110502494	34.93006041312774 Angstrom
8083	4.6487198664651	-1219.20230359208	13.417078132793533 Angstrom	-1314.31026560627	27.095325187976574 Angstrom	-147.091842696004	3.1883740338429676 Angstrom	-173.552461433123	9.248500077983925 Angstrom	-1953.9583178454	14.27520190520355 Angstrom	-2181.76528753672	29.343185347341997 Angstrom
5329	3.5873007444784	-49.7229843846866	4.646873105403926 Angstrom	-40.7992100627509	6.385318902702934 Angstrom	-7.53509726993349	3.0492585848046243 Angstrom	-7.65069557688863	3.6934912363292844 Angstrom	-53.6713722799877	6.206470499884712 Angstrom	-44.8789540796285	10.696066722699952 Angstrom
