ID	redshift	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H
22251	5.79838391626917			5.0	1.6934773221661596	0.10863907199363058	5.0	3.270996805880251	0.09940053300356552	5.0	9.527480172235103	0.09701750283085986	5.0			5.0			5.0	0.7745731549349288	0.19338098087925742	5.0	2.212390140652392	0.18581329484919756	5.0	6.814371083767043	0.19116402261359589	5.0			5.0
10000626	4.46468607001795	0.4844154527521859	0.033708550933509336	4.5			5.0			5.0			5.0	0.05973299112747349	0.03349884624585074	5.0	0.5072393737184233	0.0564398504086446	5.0			5.0			5.0			5.0	0.053934178652879354	0.05609742832359203	5.0
10001587	3.43070237834676	0.35491677880358713	0.07094559795232118	5.0			5.0			5.0			5.0	0.001777310659513138	0.07050446661366441	5.0	0.3705006754355756	0.11383067661597379	5.0			5.0			5.0			5.0	0.04792333345561449	0.11314006285016076	5.0
10001892	4.770522	0.2327252789192472	0.03511608727582756	5.0			5.0			5.0	0.06792318012183252	0.042989616432988126	6.0	0.013774500028483776	0.034898181172214916	5.0	0.28708821514776406	0.07394419041568613	5.0			5.0			5.0	0.08220042464844121	0.06689370406783354	6.0	0.029033060591220707	0.06929228699830078	5.0
10005113	5.820838	0.5791398770340027	0.05506494214089829	5.0	0.23537792460042833	0.06343344205873523	5.0			5.0			5.0	0.010807418005220752	0.0547110143809439	5.0	0.8613315389937168	0.13972283543901065	5.0	0.45938975136306315	0.14606108339387033	5.0			5.0			5.0	0.35936287290287056	0.13241224413196365	5.0
10005217	4.8883230178694	2.6361556337437384	0.0385327694008556	5.0			5.0	1.00060275633529	0.0685178558261371	5.0	2.954444166790416	0.0671784517839917	5.0	0.0216796918855094	0.03806531101166578	5.0	3.5460006429125968	0.08355268563048208	5.5			5.0	1.0902732738464673	0.14625068751386966	5.0	3.929708404160332	0.1434600408388546	5.0	0.03422842483777002	0.07878413425883767	5.0
10005447	6.62257640301802			5.0	0.045491326833285106	0.0815572963542549	5.0	0.2139580487784732	0.07823097518579553	5.0	0.70183022631566	0.07308441640544672	5.0			5.0			5.0	0.16347839927450714	0.13833110127731635	5.0	0.41006867424507376	0.13882802344256476	5.0	0.7025319168190578	0.13617901051410294	5.0			5.0
10009506	3.59928686455817	4.6267089853646	0.07018823258455774	5.0			5.0			5.0			5.0	0.17651843177471802	0.07457302832443453	5.5	6.243760241769817	0.10602151754870379	5.5			5.0			5.0			5.0	0.34208153653010476	0.09857235696266907	5.0
10009693	6.28599376348805	0.542296175405558	0.13254773674604042	5.0	0.2558725322658993	0.10324062776553718	5.0	0.09470728635917242	0.09910250671698438	5.0	0.7410715161336809	0.09715795433532462	5.0	0.05201662193707158	0.1310133114693325	5.0	0.3057553289400356	0.22339308266894264	5.0	0.12279922286865255	0.16315079992104833	5.0	0.406924501140187	0.17685604481438577	6.0	0.6369570466290293	0.15377483397580027	5.0	0.2114964355249906	0.2220377508492542	5.0
10009848	4.37	0.13089143260654781	0.06878421466732583	4.5			5.0			5.0			5.0	0.11531632178271896	0.06835309299091238	5.0	0.30551466847407643	0.2379300058286816	5.0			5.0			5.0			5.0	0.3036210930436769	0.2229615897708505	5.0
10013545	4.03498294164463	2.707413253009671	0.06381705169221767	5.0			5.0			5.0			5.0	0.2800796486664088	0.05984163643985359	5.0	4.821465050049676	0.13362783127810254	5.0			5.0			5.0			5.0	0.7296340175061415	0.13281710764440394	5.0
10013609	6.928894			5.0	0.6051510770879329	0.08268626714290181	4.5	1.2658667573913374	0.08283896550313061	5.0	2.833178742243801	0.07772744367603031	4.5			5.0			5.0	0.8457768742931333	0.22648734827961947	6.0	1.1729306128833477	0.18636213865917692	4.5	3.1870139007309475	0.18280611515291978	4.5			5.0
10013618	5.94372301071691			5.0	0.3126407850591578	0.03996010824120966	5.0	0.4954206057829145	0.038478857257814546	5.0	1.3335062129574686	0.03956388678150801	5.0			5.0			5.0	0.3665433413971067	0.11191584448510196	5.0	0.618465042596756	0.10253172383743732	5.0	1.6138653867471768	0.10057528986043682	5.0			5.0
10013620	5.91753186734937			5.0	0.3227838647842404	0.07249875709921111	5.0	0.5567598267692738	0.06981382357358293	5.0	1.9159055297384038	0.06844118274227207	5.0			5.0			5.0	0.22141475338565383	0.15813547216363583	5.0	0.4470961059521705	0.15194706832937185	5.0	2.6253627333255145	0.16327360505781438	5.5			5.0
10013704	5.919825	2.6059219233948485	0.06643579439504434	4.5	0.8074874194734258	0.041000988010631643	5.0	1.458426622192045	0.03937012776269972	5.0	4.429746482683378	0.036623194745086074	4.5	0.5021788136093672	0.07622227898443684	5.5	2.9543771319150354	0.11441325178240533	4.5	1.0059706790550116	0.07852247590949	5.0	1.7689033147485886	0.07544961196351144	5.0	5.028938616646546	0.07400993867144438	4.5	0.44770191012338323	0.11371910351754877	5.0
10013905	7.197212																		5.0	0.25369955007088096	0.14138816029377435	5.0	0.5721637656553124	0.14140251120621503	5.0	2.080519556873051	0.13326285182692452	5.0			5.0
10015338	5.07627227996806	2.1133692096827668	0.11068099492914045	5.5			5.0			5.0	4.224121590477558	0.05888523293348861	4.5	0.17823468387367555	0.104335982825038	5.0	2.6757227291220214	0.25687344633284126	4.5			5.0			5.0	5.387664961401293	0.17864565356314932	5.0	0.3443122076264303	0.25531498824952303	5.0
10016186	3.92792643507394	2.7005255051098924	0.060336502642465505	6.0			5.0			5.0			5.0	0.3077903707463384	0.059965745472064624	6.0	3.0688880143966952	0.10940465653287645	4.5			5.0			5.0			5.0	0.006199333130622535	0.11624890716495388	5.0
10016374	5.50325569707072	1.534335941048603	0.05490485147515706	4.5	0.47094818046068254	0.06251695040836916	4.5	1.1369514176207056	0.06001835676524765	5.0	3.6133470362716453	0.06202933438029445	5.0	0.014539109245464582	0.05750214857667188	5.0	2.0802007905308244	0.0989329824608574	5.0	0.662357652798734	0.13156643319840394	5.0	1.340229002245573	0.13325603041451953	5.0	4.4265189283788215	0.13071333810640082	5.0	0.27172929114838335	0.09328664080643202	5.0
10035295	3.58892350772953	5.151606663089529	0.07413512447575749	5.5			5.0			5.0			5.0	0.033713751100219166	0.06892654435515426	5.0	5.743775405436027	0.1372415134079676	4.5			5.0			5.0			5.0	0.009532423547361814	0.1364088654679375	5.0
10056849	5.8142066790736			5.0	0.379131827127823	0.06759224576752235	5.0	0.6523130018316411	0.06465992576842951	5.0	1.6736734672210911	0.07252247321503129	6.5			5.0			5.0	0.5388947296106673	0.11990846116394528	5.0	0.9578347583115168	0.11521601632109495	5.0	2.0997339575419587	0.13841766489113935	7.0			5.0
