ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES
5759	5.05189382127941	1.2886922429851553	0.0810773853988575	1.3814146270854115	0.113488513095973	0.1034843769228755	0.2743280263082184	0.2508076305808991	0.1723822472761168	0.8887490399530298	0.111911971521517	1.017257208199082	0.0894028929479844	2.6151386428870045	0.1417171545581249	2.04415818961093	0.1012637425633911	0.0332506774576235	0.1966355504218644	0.0660836619119354	0.2062911484511157
6002	5.93685818347379	0.8685578619738088	0.0390366612744358	0.9901732422737576	0.0481035838305878	0.249253442805071	0.0254806513689033	0.3205197816886688	0.0326060891957461	0.4999722657319814	0.026580176956342	0.6426280803348513	0.037822718653725	1.4613302451334436	0.0291495293233758	1.6796822386644783	0.0414801943460064	0.0361015729793628	0.120527076125932	0.0212756688442266	0.1496839191915006
6246	5.56159788939357	0.5847680542358362	0.0531480052391006	0.7235773436964954	0.038101192200237	0.373870399514328	0.0587533558434506	0.3595564337598844	0.0333509113638719	0.3980541976572215	0.0756787679203953	0.3281592665949522	0.0436050681861625	0.886605194415007	0.0642891551339164	1.140354369442708	0.0427730287570382	0.0240092347198831	0.1095036192383455	0.000895176821121	0.1055593366826757
6384	5.61541238216689	0.2041578442607665	0.0525630755233918	0.5537365544375329	0.1017927207304935	0.2838044655875156	0.0550357133594255	0.902934720764324	0.1601698644974001	0.1879485416151742	0.0490869610613527	0.6059334800494042	0.1180358875651702	0.4370417616675178	0.0481495228537691	0.8637490734680551	0.115783614685178	0.0416091667689556	0.0725144399087363	0.1527906878016639	0.1179786989160105
7507	4.04428024657048	2.15347931222943	0.0738155194373942	2.3790220709127463	0.1142654543352548	1.015787697839427	0.1044374012445155	0.725620127613499	0.0984379602494431	1.534767586420552	0.0865936525071777	1.2510936491064877	0.114348225626216	3.7743005112088825	0.0930360814226725	3.033901561963652	0.1003246047016215	0.1179126583198439	0.3225820224603229	0.2932096772530186	0.3249618141662559
7624	4.845	0.2152436175690735	0.0365525560431297	0.4613763058751868	0.0760123120601216					0.0456363164655401	0.152377262472111	0.2426685097120168	0.2158081772422538	0.2910784959181691	0.1364261859343541	0.639045738253953	0.1932459084092186	0.0565923816821636	0.0460524771673913	0.1837267361378586	0.1210377350898021
7762	4.14863310108243	3.059008613409876	0.0783240356542758	3.694590793335421	0.0531505095015675	1.1544145265920625	0.0426771111593905	1.149283019749152	0.0524878584191617	2.1556856716880843	0.0413135973711091	2.155924283927225	0.0581315405838359	6.081995318662637	0.0405207676347841	5.996375334719064	0.062464819512756	0.0916000970270117	0.4103003609922192	0.1318094648762234	0.452829434369188
7809	3.57819206358422	3.500433873753868	0.1354800447526385	3.7898685241250423	0.1092209632043486	0.8826060261810468	0.1462457095283591	1.3734912476413064	0.1928965654337717	3.283180521593412	0.1665750925859752	2.642687289607984	0.1437911303678477	8.126396287207577	0.1826595726042086	6.371077135560766	0.1576958041408244	0.2700154284406813	0.0803392827719783	0.1554816698946619	0.0953690399777005
7892	4.22872754610498	2.393399828894455	0.0336601884742088	2.6469802308994312	0.0528614473362729	0.8177370095123334	0.0533483845821856	0.8041356196415623	0.0668116921988208	1.7837044720321606	0.0471254991249883	1.7948532086844655	0.0514880879880716	4.828092809392365	0.0462242176506615	4.782980504011876	0.0505056306472596	0.0915570986760173	0.277443979375107	0.0528461288227237	0.3225312756724203
7938	4.80631123887867	2.4780984875232748	0.0473536351023488	3.241210682721002	0.0662190090826626	1.0175755526922885	0.0806967724444277	1.035833081862431	0.1285615882015096	2.2086646939641428	0.0909243390154911	2.5275525088493858	0.1296744754034144	6.296471883466911	0.0976947747150702	7.432191381444752	0.1272001236600341	0.0418568810676882	0.2785905240862277	0.0730676858898708	0.4387570369403931
