ID	redshift	LF(Ha) MAST	LF err(Ha) MAST	LF(Ha) JADES	LF err(Ha) JADES	LF(Hb) MAST	LF err(Hb) MAST	LF(Hb) JADES	LF err(Hb) JADES	LF([OIII]4959) MAST	LF err([OIII]4959) MAST	LF([OIII]4959) JADES	LF err([OIII]4959) JADES	LF([OIII]5007) MAST	LF err([OIII]5007) MAST	LF([OIII]5007) JADES	LF err([OIII]5007) JADES
17566	6.101534	2.71500888340231e-19	1.952770579402006e-20	2.1722865407468255e-19	1.3552561100797754e-20	1.071371706143903e-19	1.8898343440510687e-20	8.411841577660678e-20	1.0668200821911941e-20	2.46306015273298e-19	1.0627814073815416e-19	1.5295255433510281e-19	6.681668548647717e-20	7.59525444554784e-19	4.9182070477652096e-20	4.895451527215459e-19	3.223314480914906e-20
17777	4.13366013096712	1.4959939290576337e-19	1.0311818892587869e-20	1.542062954846881e-19	1.5179574643985616e-20												
18028	3.73094591607022																
18090	4.77562372049334	6.483672912037007e-19	1.0073170664533352e-20	7.938399561388148e-19	1.5929796160721167e-20									1.8283877053400994e-18	2.986985860577594e-20	2.1653208767910516e-18	2.9167039994578296e-20
18846	6.335054	3.8496374112639204e-19	8.595202023887596e-21	4.943048722342988e-19	1.0895713665898076e-20	1.7820071990037086e-19	8.13636051251891e-21	1.4744952469248219e-19	1.0359352413333822e-20	2.9113588366495136e-19	1.3733617909351276e-19	3.0811716257212463e-19	1.5020060612840666e-19	7.844267670587884e-19	5.722950444458105e-20	8.172152924686552e-19	6.31118362627537e-20
18970	3.72458828704365	1.1768537513846251e-18	1.5949923068062475e-20	2.274756806028812e-18	6.671104564019512e-20												
18976	6.327052	1.368176255925626e-19	1.0611305310258597e-20	1.41887185857348e-19	8.921571314110941e-21	7.387284622373668e-20	7.530113777499388e-21	5.746878281753105e-20	6.606363792820165e-21	5.692326487540158e-20	2.9966270573880935e-20	6.482629865721488e-20	2.462228316821477e-20	2.46071436943259e-19	1.5202214824874404e-20	1.956755707820999e-19	1.9223801680230095e-20
19342	5.974287	2.4016467877727313e-19	1.112808669396979e-20	1.9637347147051105e-19	9.61000557961087e-21	1.8796882225544176e-19	1.5726692017396325e-20	8.455898645084392e-20	1.1782266063267809e-20	1.1502525541540694e-19	5.704784334375399e-20	5.1916810282771596e-20	3.367326387345527e-20	4.530208910770648e-19	2.866144780262467e-20	2.879413119323745e-19	1.9257936699012226e-20
19519	3.60450973158305	8.055060916802058e-19	1.4088438468231203e-20	8.523904018845534e-19	1.753144632743046e-20												
19606	5.88913558713673	1.9404269046470826e-19	7.92279501522354e-21	2.75143694442129e-19	2.3511154321290708e-20	7.401072073611118e-20	9.761424855447313e-21	8.354923413935427e-20	1.6141406431492332e-20	8.446760927896096e-20	5.450473596333431e-20	1.2610651962488777e-19	7.767517533619828e-20	2.540228293143605e-19	1.8908069539629647e-20	3.827758660641827e-19	2.444835627690736e-20
20961	7.04457065169479					1.3988292266225054e-20	7.171079483128077e-21	3.99874554166039e-20	8.854315956153751e-21	2.5272245430632837e-20	1.71740124025024e-20	5.3597470099369063e-20	3.274156616262032e-20	7.833439610970599e-20	1.0787468984697911e-20	1.2273960813383531e-19	1.476957460263058e-20
22251	5.79838391626917	5.879048384919164e-19	1.3817447766504868e-20	4.856363372864014e-19	1.1200158801350614e-20	2.3271352568663744e-19	1.8083647976937312e-20	1.9367364511278548e-19	1.4846030396341924e-20	4.756384785623401e-19	1.786097833646751e-19	3.473163444948126e-19	1.462457244542716e-19	1.3847362387730565e-18	7.337385237618824e-20	9.767228514806036e-19	5.50781204046147e-20
10000626	4.46468607001795	8.919409585828246e-20	5.188946432082222e-21	1.2061964083403545e-19	8.595357489770529e-21												
10001587	3.43070237834676	4.95188639695638e-20	6.982199549783923e-21	5.975294373494586e-20	1.51558920557523e-20												
10001892	4.770522	2.3861356391369583e-20	5.663047556350046e-21	3.57211041975074e-20	7.277668729923194e-21									1.7326451032835577e-20	4.21517642418195e-21	2.945081273035915e-20	1.1480185437616297e-20
10005113	5.820838					2.504726151296673e-20	5.0066085421350424e-21	1.9903900065422126e-20	7.870591932097855e-21	4.288321740234296e-20	2.5356498971582757e-20	5.566416828096442e-20	3.337714248778909e-20	1.4336346173209467e-19	1.0596221028257875e-20	2.0111593799287646e-19	1.5153953012288576e-20
10005217	4.8883230178694	4.64239087593571e-19	6.1367078708860255e-21	5.928729128223224e-19	6.39141537899489e-21					1.8914824007229447e-19	9.05267196321297e-20	2.295155855847761e-19	1.171958748080573e-19	5.293733539823244e-19	2.8844552112857374e-20	6.97734113775502e-19	4.062844498275511e-20
10005447	6.62257640301802	3.712654615163746e-20	9.369799962940607e-21	2.3346951599330788e-20	1.4752014849674575e-20	2.865778936377946e-21	8.274256218204422e-21	1.7296827266865358e-20	1.4361441258578792e-20	8.649375282175064e-21	1.1949179626749492e-20	2.1574506966511056e-20	1.6761956116933504e-20	3.270047516126943e-20	7.94981969379118e-21	7.372284523987013e-20	1.132040889625877e-20
10009506	3.59928686455817	9.83306360034764e-19	1.3733299536085768e-20	9.048833525825625e-19	7.476197004050911e-20												
10009693	6.28599376348805	5.518118200121545e-20	1.1719631522008514e-20	3.8294793296294065e-20	2.2743019202988546e-20	-1.782672790619196e-20	1.272203414367021e-20	-1.9497126276451007e-20	1.519165377432074e-20	-4.81871957613746e-21	1.6276466759829375e-20	-3.758547657995346e-21	2.0542032319133682e-20	7.566093505259894e-20	1.014608103264909e-20	6.024423422414406e-20	1.3239015203325743e-20
10009848	4.37	3.8733688583113624e-21	1.0787967427765488e-20	2.520399195544134e-20	1.6152858068804777e-20												
10013545	4.03498294164463	5.447255534337685e-19	1.1986499344028368e-20	9.566241160554233e-19	1.4595702742598476e-20												
10013609	6.928894					8.373018623298175e-20	1.0253130787696173e-20	8.595274468071376e-20	1.2775402767782129e-20	1.1936514052847043e-19	7.356963306459609e-20	1.6985130487645205e-19	8.909850945404063e-20	3.9100126770133387e-19	2.1754769640333902e-20	4.617482036454241e-19	2.6886413213994226e-20
10013618	5.94372301071691	1.1165401806258796e-19	5.363492369158004e-21	1.2462933728033497e-19	7.858681140786554e-21	4.079023980188456e-20	4.8441631682278415e-21	4.3974088812838366e-20	6.769060707048962e-21	8.679543012292848e-20	3.25179998859752e-20	1.0027681634973612e-19	3.857534926711074e-20	1.8071022807728365e-19	1.041201845671125e-20	2.0269999990237414e-19	1.2714979290986936e-20
10013620	5.91753186734937	1.5584569602825192e-19	7.151103287237088e-21	1.9538501049638186e-19	1.516359035015866e-20	4.9388353738183344e-20	8.301075938065423e-21	7.368122863764685e-20	9.893291657971527e-21	1.231239163774443e-19	5.080524398996603e-20	1.3359999317317556e-19	5.616512682550586e-20	2.8607757289493044e-19	2.0386739277263336e-20	3.666202036837162e-19	2.702773588551783e-20
10013704	5.919825	4.34335730297931e-19	1.763211857148417e-20	5.198495192349037e-19	2.0480013247570113e-20	1.2508787342746928e-19	4.936258357658999e-21	1.4410898077244528e-19	1.1521090782435611e-20	2.0773255351105219e-19	9.7135306125911e-20	2.5974030354838833e-19	1.0201939722684452e-19	6.393256003844896e-19	3.4853889470745663e-20	6.982864347674348e-19	4.368542817570817e-20
10013905	7.197212					6.785297560884891e-20	4.364480257980842e-21	1.014541126268984e-19	1.0990119464920149e-20	7.53484764737719e-20	3.5303419813461634e-20	7.439223588858461e-20	3.902487134709432e-20	2.2737550425999753e-19	1.2900247453529641e-20	2.6365357851694687e-19	1.6973218402766706e-20
10015338	5.07627227996806	4.118275719709636e-19	1.890196651463353e-20	4.913428943076843e-19	3.380071822592656e-20	1.2577717986936043e-19	2.3655031243928932e-20	1.593933006267716e-19	4.790215716827976e-20								
10016186	3.92792643507394	5.690341272171282e-19	1.3005675304144065e-20	7.223118747205863e-19	2.1646678162631694e-20												
10016374	5.50325569707072	2.350418000473976e-19	7.61343008540169e-21	2.8082559334783454e-19	1.1152160861127623e-20												
10035295	3.58892350772953	1.1556945509927716e-18	1.5685877192088915e-20	1.3179422436626415e-18	1.7293549405422045e-20												
