ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST
10009848	4.37	0.0118685026968816	0.0132118946075557	0.0281671018585968	0.0200984777902623	0.0174573801714397	0.027230687218323	0.0368947754560548	0.033175659889685	0.0106044226581078	0.0230000038838351	0.0084514281556269	0.0341225141942112	0.0441564810614721	0.0225580900782555	0.036764352283594	0.0334714137966803	0.0109640610745233	0.0130716734841625
10013545	4.03498294164463	0.5519977727152975	0.0133741583221158	0.9746961182087678	0.0163333805721677	0.2335162831180164	0.0306523105995261	0.2891150843623746	0.0270980441288421	0.5232032254805494	0.0186540478507116	0.5582390340373982	0.0229751931510492	1.2288901328938029	0.0173577515830905	1.6837070755846064	0.0213802835030051	0.0173020880390707	0.0933600289051524
10013609	6.928894	0.022474010082729	0.0042102532891927	0.3173811572382687	0.0193927669737335	0.0951306909792736	0.0130391829534651	0.0931521690043678	0.015960272967032	0.1203452585684175	0.0110575526259275	0.1698807926323725	0.0171580081790563	0.3869265208026118	0.0108447950676697	0.4691162371006701	0.0178515596540872		
10013618	5.94372301071691	0.1167475236398601	0.0070262734150058	0.1325603211433595	0.0093543375026583	0.0533187232083082	0.006944238058287	0.0589786701295162	0.0094551493575937	0.0931336448527568	0.0054807873585583	0.1030387678032883	0.0070641896378623	0.1908020043528895	0.0053757152273485	0.2129729684421272	0.0064818564635662	0.0162246284766674	0.0194657734456407
10013620	5.91753186734937	0.1619336792557316	0.0090978405086286	0.2099815518158854	0.0185730629782945	0.0528309705188106	0.0119735900704218	0.0902506672419745	0.0182761856373409	0.1248048379995887	0.0093176744146407	0.1339906947697847	0.0133646115361834	0.2835418027443564	0.0091389689287852	0.3701193142620367	0.0140147497423694	0.0393412104065007	0.0286153777843403
10013704	5.919825	0.4838894811704421	0.0181617169652817	0.5384872848626975	0.0229217516704363	0.1432835446157843	0.0064467641155498	0.1517969192614355	0.0123222062011708	0.2076087230448034	0.0065809115567841	0.2704174880746903	0.0120213411601689	0.6402415633731702	0.0069010645320836	0.7184025448886423	0.0117919588830115	0.1271924239014674	0.0565949263121627
10013905	7.197212					0.0732327868121506	0.0052242469272855	0.1099639763473386	0.012907101053388	0.0736957474730739	0.006764800417286	0.0692445509732421	0.0125531322770097	0.2265851423542595	0.0066351306963869	0.2825345561128667	0.0129796769724935		
10015338	5.07627227996806	0.4544140418315033	0.0134573562249871	0.5489657630409893	0.032906791632896	0.2098731913283878	0.0451250195666377	0.1969057886202262	0.0652003443766217	0.295267611286043	0.04740671337377	0.4284397628620074	0.0665511108903277	0.8255442101300328	0.0445129798221254	1.0174524838139916	0.0652812321671396	0.0116761965767221	0.0716015466224335
10016186	3.92792643507394	0.5690341272171282	0.013005675304144	0.7223118747205862	0.0216466781626316	0.2692974695062477	0.0162924911800315	0.3222810438744525	0.0223021691813779	0.4076520610045457	0.019017174803792	0.4004481720916317	0.0243387392518075	1.0450249560726113	0.0176961498792747	1.1052830988217537	0.0238743255596589	0.0716496738263189	0.092206001365334
10016374	5.50325569707072	0.2399972948634666	0.0080094955741189	0.2901817381566369	0.0132259864198486			0.1091834617190411	0.0159562671290311									0.0026069692637136	0.0401584102386897
10035295	3.58892350772953	1.1823986806152078	0.021453457965467	1.2694268073168034	0.0236499721919527	0.3892602728126907	0.0247188102579333	0.384452445725687	0.0289502359260126	0.7525727026481212	0.0264351511608034	0.6943552933104568	0.0289552294372252	2.140695773202298	0.0243950604220273	2.0689437394315218	0.0301256416363805	0.0095213363935866	0.2098435092762429
