ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST	Optimal dline ([NII]6583) JADES
16625	6.630648	1.239285830250872	0.055590875352699444	1.881366747629852	0.08297702352846209	0.38468445845742266	0.031148491789125578	0.7170493805815538	0.06339522932831555	0.5352104517423425	0.027097735421902316	0.6482464878321798	0.0421219170748001	1.5733646729671944	0.029714129551161386	2.2202292023661014	0.04526179628448605	0.07486039429263956	0.16117234329754365	0.11160461358675271	0.2317370555348379	5.5	5.5	4.5	5.0	5.5	4.5	5.0	6.0	5.0	5.0
16745	5.56655234405774	2.2641282251691557	0.03830050686256259	2.1694869703130295	0.05534205745866369	0.7224768166341623	0.0638001319636898	0.43631210960569894	0.09241259410206157									0.0853079465448417	0.2294152952725452	0.09942900726496244	0.2305174181274244	6.5	6.0	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0
17072	4.70200977971638	0.5258357585009059	0.04540509639000263	0.6604888869856645	0.04694715739329628													0.08573992118541555	0.05831066879537113	0.07266195071850001	0.06614276728566348	6.5	10.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
17260	4.88512714601353	0.3383567386918954	0.03965637074341885	0.3482635123092935	0.04103090271445769					0.074419629774923	0.04680429258386497	0.008196016464078327	0.060680459886072444	0.2659848734248148	0.04590816235097862	0.22108202250409845	0.05952260055220845	0.03441581384056907	0.05110129276724197	0.0012396406797768073	0.06625280647402393	6.0	5.0	5.0	5.0	4.5	5.0	5.0	5.0	5.0	5.0
17566	6.101534	1.928954227849252	0.13874006410015	1.4559810485902378	0.08896520021392819	0.8179389728622941	0.11134590243866907	0.5998067594127028	0.06805767271110695	1.6796861953980409	0.13291601414962306	1.0625101048824723	0.09063562448410281	4.791611438590089	0.11660630806724735	3.2592766591903066	0.08890618301339759	0.17676116622140206	0.25912448362777496	0.02245784330534116	0.21691876372861144	5.0	4.5	5.0	5.0	5.0	5.5	5.5	5.5	5.0	5.0
17777	4.13366013096712	0.7105645400085547	0.04135400439017472	0.6094302093764552	0.05640433537374029													0.04449191664284916	0.0897001728783685	0.031982499740547524	0.10911062914674911	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18028	3.73094591607022																					5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18090	4.77562372049334	3.666693740037747	0.05344931737222868	4.402930610981561	0.09158046924088363									10.394211560303267	0.04074717634157253	12.027489511721615	0.08739623422590839	0.1709835655428597	0.4221232972948965	0.07852599844693468	0.5274742709618746	5.5	4.5	5.0	5.0	6.0	5.0	5.0	6.0	5.0	5.0
18846	6.335054	2.982768614126829	0.07032426694696202	3.6257529303016827	0.07992064810790035	1.1508017376264685	0.04466929639494799	1.0961002764108418	0.054213532917594696	1.9053869816702529	0.03856301459054235	2.0005204392026745	0.06145839751679511	5.41205394642244	0.0378240380192149	5.848629166127357	0.06028569415658654	0.16377492035549018	0.36285085956513835	0.3493378654521712	0.4142552714784947	6.5	6.0	5.0	5.0	4.5	5.0	5.0	5.0	5.0	5.0
18970	3.72458828704365	5.56014944935518	0.07535681970661529	10.747289361636549	0.3151822248481002													0.47831728984623445	0.7079350414369091	1.4289631329752628	1.3067198609154624	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18976	6.327052	1.0027753718546206	0.07700178925865349	1.060032525613564	0.07383193664496207	0.5859455796992891	0.06312458228225419	0.36560232699775636	0.050017862315559006	0.5020284650147351	0.05006655090840314	0.534092787455279	0.05953692763477017	1.80297821419798	0.05490104207839874	1.7594481375207347	0.09233991225237	0.004425881253276771	0.15455723452040307	0.06560898096584175	0.19937100039447356	5.0	5.5	5.0	4.5	5.5	4.5	5.0	12.0	5.0	5.0
19342	5.974287	1.7851975430455964	0.07770076296045642	1.2887135432657832	0.0656136268834914	1.0219652184098755	0.07731984955963941	0.5447229733314102	0.059989189508837214	0.91098585455374	0.08542816365235073	0.5686222009006745	0.060594488661694396	3.045038347315436	0.08379109782720923	1.94372158480123	0.059438269766694196	0.0071867148835038	0.23171268981104998	0.04523494891940115	0.18148971349507442	5.5	5.0	4.5	5.0	4.5	5.0	5.0	4.5	5.0	5.0
19519	3.60450973158305	3.6314833110715194	0.043210021793719036	3.6254144688901664	0.06683855367305398													0.10316349641396155	0.3892217496034418	0.1585731344283047	0.5004337058084152	6.0	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
19606	5.88913558713673	1.3369900973295668	0.05458952590874577	1.7057341716533534	0.13946025011461188	0.48994632752184425	0.05403367745770727	0.5880048191378463	0.09902502953803104	0.6231744642436821	0.06707481276574527	0.9050266469582134	0.0963403544941575	1.96164543325836	0.07393884726027242	2.808730882583219	0.10565651465635592	0.03473389579249384	0.1804973018482447	0.09291783137893218	0.2991382431469305	5.5	5.0	4.5	5.0	5.5	4.5	5.0	6.0	5.0	5.0
