NIRSpec_ID	redshift	JADES_FILENAME_F070LP-G140M	JADES_FILENAME_F170LP-G235M	JADES_FILENAME_F290LP-G395M	MAST_FILENAME_F070LP-G140M	MAST_FILENAME_F170LP-G235M	MAST_FILENAME_F290LP-G395M	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
8113	4.90277103561231	hlsp_jades_jwst_nirspec_goods-s-deephst-00008113_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008113_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008113_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013846_nirspec_f290lp-g395m_x1d.fits	Fabia	6528	6699	4810	4884	4907	5046
9422	5.935895	hlsp_jades_jwst_nirspec_goods-s-deephst-00009422_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009422_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009422_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013176_nirspec_f290lp-g395m_x1d.fits	Nayli	6531	6600	4828	4891	4931	5064
9452	5.12243857379367	hlsp_jades_jwst_nirspec_goods-s-deephst-00009452_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009452_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009452_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000036976_nirspec_f290lp-g395m_x1d.fits	Verónica	6540	6625	4815	4902	4945	5138
9743	5.44012039584156	hlsp_jades_jwst_nirspec_goods-s-deephst-00009743_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009743_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00009743_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000002075_nirspec_f290lp-g395m_x1d.fits	Karolina	6537	6639	4788	4896	4913	5087
16625	6.630648	hlsp_jades_jwst_nirspec_goods-s-deephst-00016625_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00016625_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00016625_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009903_nirspec_f290lp-g395m_x1d.fits	Angelina	6541	6585	4828	4885	4912	5068
16745	5.56655234405774	hlsp_jades_jwst_nirspec_goods-s-deephst-00016745_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00016745_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00016745_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013577_nirspec_f290lp-g395m_x1d.fits	Shakira	6522	6637	4838	4897	4916	5067
17072	4.70200977971638	hlsp_jades_jwst_nirspec_goods-s-deephst-00017072_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017072_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017072_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009849_nirspec_f290lp-g395m_x1d.fits	Gladys	6514	6593	4810	4887	4908	5050
17260	4.88512714601353	hlsp_jades_jwst_nirspec_goods-s-deephst-00017260_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017260_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017260_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013854_nirspec_f290lp-g395m_x1d.fits	Albertina	6530	6605	4827	4892	4938	5040
17566	6.101534	hlsp_jades_jwst_nirspec_goods-s-deephst-00017566_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017566_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017566_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009867_nirspec_f290lp-g395m_x1d.fits	Emily	6542	6592	4836	4887	4936	5051
17777	4.13366013096712	hlsp_jades_jwst_nirspec_goods-s-deephst-00017777_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017777_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00017777_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009858_nirspec_f290lp-g395m_x1d.fits	Carol	6494	6609	4793	4899	4916	5098
18028	3.73094591607022	hlsp_jades_jwst_nirspec_goods-s-deephst-00018028_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018028_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018028_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013352_nirspec_f290lp-g395m_x1d.fits	Cathy	6502	6616	4793	4901	4903	5087
18090	4.77562372049334	hlsp_jades_jwst_nirspec_goods-s-deephst-00018090_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018090_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018090_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009891_nirspec_f290lp-g395m_x1d.fits	Kim	6502	6622	4807	4899	4907	5075
